material,z_target,a_target_gpermol,i_ev,ke_mev,beta,gamma,tmax_mev,dedx_mevcm2_per_g
Al,13,26.9815,166,1,0.04613214679,1.001065789,0.002177254267,178.824652
Al,13,26.9815,166,3,0.07977590058,1.003197367,0.006538705408,85.26499264
Al,13,26.9815,166,10,0.1448440041,1.010657889,0.02187668094,34.27873521
Al,13,26.9815,166,30,0.2469941407,1.031973668,0.06632427461,14.38117159
Al,13,26.9815,166,100,0.428195485,1.106578892,0.2291794411,5.686880594
Al,13,26.9815,166,300,0.6525717766,1.319736677,0.7569325313,2.779394887
Al,13,26.9815,166,1000,0.8750256467,2.065788925,3.331863559,1.766629737
Cu,29,63.546,322,1,0.04613214679,1.001065789,0.002177254267,125.7502008
Cu,29,63.546,322,3,0.07977590058,1.003197367,0.006538705408,66.17185997
Cu,29,63.546,322,10,0.1448440041,1.010657889,0.02187668094,28.04244348
Cu,29,63.546,322,30,0.2469941407,1.031973668,0.06632427461,12.09957921
Cu,29,63.546,322,100,0.428195485,1.106578892,0.2291794411,4.880094811
Cu,29,63.546,322,300,0.6525717766,1.319736677,0.7569325313,2.414552674
Cu,29,63.546,322,1000,0.8750256467,2.065788925,3.331863559,1.552049983
W,74,183.84,727,1,0.04613214679,1.001065789,0.002177254267,63.61594592
W,74,183.84,727,3,0.07977590058,1.003197367,0.006538705408,42.54862797
W,74,183.84,727,10,0.1448440041,1.010657889,0.02187668094,19.93620308
W,74,183.84,727,30,0.2469941407,1.031973668,0.06632427461,9.022144146
W,74,183.84,727,100,0.428195485,1.106578892,0.2291794411,3.75537075
W,74,183.84,727,300,0.6525717766,1.319736677,0.7569325313,1.89332456
W,74,183.84,727,1000,0.8750256467,2.065788925,3.331863559,1.237482465
Pb,82,207.2,823,1,0.04613214679,1.001065789,0.002177254267,55.46332628
Pb,82,207.2,823,3,0.07977590058,1.003197367,0.006538705408,39.46452077
Pb,82,207.2,823,10,0.1448440041,1.010657889,0.02187668094,18.88240253
Pb,82,207.2,823,30,0.2469941407,1.031973668,0.06632427461,8.623307977
Pb,82,207.2,823,100,0.428195485,1.106578892,0.2291794411,3.609992692
Pb,82,207.2,823,300,0.6525717766,1.319736677,0.7569325313,1.826081425
Pb,82,207.2,823,1000,0.8750256467,2.065788925,3.331863559,1.196980424
